Leg,Location,Leg time M,Leg time HH/MM,Cumulative time M,Cumulative time HH/MM,Time of Day
1,Moot Hall,0,00:00:00,0,00:00:00,19:00:00
1,Skiddaw,80,01:20:00,80,01:20:00,20:20:00
1,Great Calva,42,00:42:00,122,02:02:00,21:02:00
1,Blencathra,66,01:06:00,188,03:08:00,22:08:00
1/2,Threlkeld,29,00:29:00,217,03:37:00,22:37:00
1/2,Threlkeld Depart,14,00:14:00,231,03:51:00,22:51:00
2,Clough Head,55,00:55:00,286,04:46:00,23:46:00
2,Great Dodd,28,00:28:00,314,05:14:00,00:14:00
2,Watson's Dodd,8,00:08:00,322,05:22:00,00:22:00
2,Stybarrow Dodd,8,00:08:00,330,05:30:00,00:30:00
2,Raise,17,00:17:00,347,05:47:00,00:47:00
2,White Side,7,00:07:00,354,05:54:00,00:54:00
2,Lower Man,17,00:17:00,371,06:11:00,01:11:00
2,Helvellyn,6,00:06:00,377,06:17:00,01:17:00
2,Nethermost Pike,9,00:09:00,386,06:26:00,01:26:00
2,Dollywagon Pike,11,00:11:00,397,06:37:00,01:37:00
2,Fairfield,39,00:39:00,436,07:16:00,02:16:00
2,Seat Sandal,23,00:23:00,459,07:39:00,02:39:00
2/3,Dunmail Raise,23,00:23:00,482,08:02:00,03:02:00
2/3,Dunmail Raise Depart,14,00:14:00,496,08:16:00,03:16:00
3,Steel Fell,23,00:23:00,519,08:39:00,03:39:00
3,Calf Crag,19,00:19:00,538,08:58:00,03:58:00
3,Sergeant Man,33,00:33:00,571,09:31:00,04:31:00
3,High Raise,8,00:08:00,579,09:39:00,04:39:00
3,Thurnacar Knott,14,00:14:00,593,09:53:00,04:53:00
3,Harrison Stickle,9,00:09:00,602,10:02:00,05:02:00
3,Pike of Stickle,11,00:11:00,613,10:13:00,05:13:00
3,Rossett Pike,42,00:42:00,655,10:55:00,05:55:00
3,Bowfell,33,00:33:00,688,11:28:00,06:28:00
3,Esk Pike,23,00:23:00,711,11:51:00,06:51:00
3,Great End,23,00:23:00,734,12:14:00,07:14:00
3,Ill Crag,14,00:14:00,748,12:28:00,07:28:00
3,Broad Crag,9,00:09:00,757,12:37:00,07:37:00
3,Scafell Pike,11,00:11:00,768,12:48:00,07:48:00
3,Scafell,30,00:30:00,798,13:18:00,08:18:00
3/4,Wasdale NT CP,33,00:33:00,831,13:51:00,08:51:00
3/4,Wasdale Depart,19,00:19:00,850,14:10:00,09:10:00
4,Yewbarrow,47,00:47:00,897,14:57:00,09:57:00
4,Red Pike,47,00:47:00,944,15:44:00,10:44:00
4,Steeple,22,00:22:00,966,16:06:00,11:06:00
4,Pillar,32,00:32:00,998,16:38:00,11:38:00
4,Kirk Fell,47,00:47:00,1045,17:25:00,12:25:00
4,Great Gable,40,00:40:00,1085,18:05:00,13:05:00
4,Green Gable,14,00:14:00,1099,18:19:00,13:19:00
4,Brandreth,17,00:17:00,1116,18:36:00,13:36:00
4,Grey Knotts,7,00:07:00,1123,18:43:00,13:43:00
4/5,Honister Pass,12,00:12:00,1135,18:55:00,13:55:00
4/5,Honister Pass Depart,13,00:13:00,1148,19:08:00,14:08:00
5,Dale Head,31,00:31:00,1179,19:39:00,14:39:00
5,Hindscarth,20,00:20:00,1199,19:59:00,14:59:00
5,Robinson,24,00:24:00,1223,20:23:00,15:23:00
5,Moot Hall,94,01:34:00,1317,21:57:00,16:57:00